Feature,Importance
ROI30_ROI133,0.00017726973705514202
ROI38_ROI167,0.00017702909326879762
ROI43_ROI53,0.00017683383126463484
ROI24_ROI78,0.00017669749688540328
ROI126_ROI193,0.00017668355618336473
ROI13_ROI94,0.00017666823939802885
ROI147_ROI184,0.00017665650639719278
ROI28_ROI111,0.00017644918527794058
ROI11_ROI152,0.00017643883234621653
ROI46_ROI111,0.0001763915919735767
ROI2_ROI119,0.0001761522943944927
ROI61_ROI139,0.00017605951633249505
ROI30_ROI163,0.00017596595370269837
ROI96_ROI139,0.0001758918208472846
ROI79_ROI199,0.00017562115962582514
ROI149_ROI194,0.00017550083045533282
ROI51_ROI123,0.00017541774660689234
ROI80_ROI104,0.00017535410518971896
ROI72_ROI105,0.00017485023918698548
ROI94_ROI101,0.00017460441247411904
ROI37_ROI163,0.00017447683159460341
ROI114_ROI173,0.00017446359766222394
ROI29_ROI175,0.00017445481604126017
ROI5_ROI139,0.00017424806349052098
ROI78_ROI128,0.00017408061802156683
ROI139_ROI166,0.00017407819508869412
ROI22_ROI128,0.00017354881181278013
ROI84_ROI147,0.00017354523969873684
ROI62_ROI74,0.0001734852997356119
ROI82_ROI180,0.0001734504929846494
ROI140_ROI193,0.0001734377394318326
ROI71_ROI75,0.00017316540534178694
ROI99_ROI179,0.0001729470439511088
ROI55_ROI190,0.0001728761967199485
ROI19_ROI144,0.0001725804579758384
ROI49_ROI114,0.00017246581846226745
ROI27_ROI193,0.00017238375737881339
ROI11_ROI16,0.0001723579457996354
ROI58_ROI110,0.00017226327142211382
ROI31_ROI80,0.00017213176399529306
ROI37_ROI153,0.00017210660662568433
ROI17_ROI118,0.00017204902882776756
ROI1_ROI60,0.00017195412285025621
ROI10_ROI172,0.00017188210053424908
ROI66_ROI152,0.00017184119858148705
ROI92_ROI126,0.0001717675235810503
ROI62_ROI184,0.0001716330156638657
ROI100_ROI166,0.00017136368365699785
ROI24_ROI195,0.00017113407644534594
ROI73_ROI97,0.000170999904862596
ROI66_ROI80,0.00017095217347963445
ROI139_ROI178,0.0001708515007024023
ROI160_ROI181,0.000170475701408211
ROI24_ROI125,0.0001702943807406061
ROI7_ROI194,0.00017015417165732626
ROI11_ROI62,0.00017011375040238875
ROI25_ROI147,0.0001699496919312607
ROI9_ROI192,0.00016985876170579802
ROI6_ROI103,0.0001696987324520928
ROI18_ROI152,0.00016932342021969154
ROI45_ROI95,0.0001691609666074415
ROI19_ROI99,0.00016914018892950057
ROI119_ROI145,0.00016910390590203962
ROI13_ROI193,0.00016909911551840222
ROI10_ROI103,0.0001689712113870865
ROI83_ROI110,0.00016896586942212067
ROI34_ROI193,0.00016888019856945805
ROI127_ROI191,0.00016885987772884668
ROI79_ROI127,0.00016873888918234262
ROI31_ROI129,0.00016856644700489966
ROI84_ROI105,0.00016853953730440775
ROI123_ROI193,0.0001684736876888475
ROI72_ROI128,0.00016836207563175823
ROI34_ROI40,0.00016825643366154253
ROI45_ROI172,0.00016823991093019376
ROI101_ROI146,0.00016808143187003305
ROI60_ROI175,0.00016805540376160799
ROI56_ROI128,0.000167965333207667
ROI18_ROI197,0.00016782609158312746
ROI151_ROI182,0.00016773975844069312
ROI98_ROI123,0.00016772310152826805
ROI33_ROI135,0.00016764754709257596
ROI10_ROI122,0.00016738422580469351
ROI14_ROI83,0.00016732931617939993
ROI43_ROI115,0.00016731791633387949
ROI51_ROI57,0.00016730028095023213
ROI143_ROI186,0.00016729159177245848
ROI25_ROI119,0.00016681679038350517
ROI113_ROI148,0.00016669299888383453
ROI103_ROI111,0.0001666167157110821
ROI12_ROI51,0.00016655290354874143
ROI3_ROI199,0.00016626089743270315
ROI7_ROI125,0.00016624364800908994
ROI65_ROI147,0.00016616705808370475
ROI75_ROI114,0.00016605633632495818
ROI17_ROI67,0.00016586539318256836
ROI46_ROI177,0.00016558610066338045
ROI28_ROI191,0.00016551959108915338
ROI146_ROI153,0.00016549596489459149
ROI12_ROI38,0.00016542202180507164
ROI50_ROI147,0.00016538219049595194
ROI44_ROI118,0.00016534770811639835
ROI111_ROI125,0.00016514222479445967
ROI49_ROI170,0.00016513288758846038
ROI44_ROI59,0.00016447315449857823
ROI53_ROI197,0.00016427893467836036
ROI62_ROI169,0.0001640168375219969
ROI111_ROI182,0.0001639375161100276
ROI16_ROI123,0.00016375328977932387
ROI11_ROI106,0.00016371905814006502
ROI47_ROI196,0.00016366560895661263
ROI127_ROI194,0.0001634363840487735
ROI48_ROI148,0.00016337453206820607
ROI132_ROI182,0.00016330557021297033
ROI5_ROI51,0.00016326470393360679
ROI95_ROI147,0.00016320103906833372
ROI93_ROI153,0.00016309868172307974
ROI71_ROI103,0.00016308411842987428
ROI62_ROI123,0.00016303623562333123
ROI90_ROI139,0.00016301300056998364
ROI6_ROI171,0.00016283053861140112
ROI35_ROI49,0.00016280947058437627
ROI35_ROI87,0.00016277894323879106
ROI127_ROI151,0.00016266080010677035
ROI117_ROI164,0.0001626176679735017
ROI23_ROI117,0.00016258869771107614
ROI39_ROI71,0.00016238577438158124
ROI122_ROI191,0.00016225815960415357
ROI142_ROI182,0.00016222604772031936
ROI112_ROI182,0.00016220262453721092
ROI1_ROI99,0.00016198660978427527
ROI114_ROI132,0.00016193916244078963
ROI81_ROI101,0.00016187354173859505
ROI93_ROI125,0.00016178270565798568
ROI121_ROI124,0.00016165555315764588
ROI30_ROI96,0.0001616467683784316
ROI124_ROI194,0.00016158438616870543
ROI28_ROI185,0.00016156861213612118
ROI26_ROI104,0.00016152107315665416
ROI15_ROI68,0.000161495777708559
ROI124_ROI153,0.00016146788971046832
ROI44_ROI138,0.0001614663706386286
ROI38_ROI162,0.00016144490864347438
ROI116_ROI193,0.0001612606454678719
ROI81_ROI108,0.0001612130605963572
ROI56_ROI197,0.00016118628001992924
ROI115_ROI147,0.0001609334553444861
ROI139_ROI172,0.00016074813124496848
ROI153_ROI191,0.00016067111059373982
ROI81_ROI155,0.0001606096633370639
ROI90_ROI100,0.00016058674449801044
ROI152_ROI191,0.00016046665002771265
ROI177_ROI184,0.00016045007803390472
ROI31_ROI199,0.00016041867337746447
ROI26_ROI35,0.0001602887095357613
ROI50_ROI81,0.00016028407715720734
ROI69_ROI178,0.00016027458385038898
ROI68_ROI164,0.00016017535818600378
ROI20_ROI76,0.00016001737489829154
ROI48_ROI172,0.00015986027590560737
ROI150_ROI160,0.00015984640515795878
ROI108_ROI121,0.00015981968397789397
ROI34_ROI166,0.00015976842183271561
ROI100_ROI106,0.00015966196988912167
ROI35_ROI154,0.0001596250261220187
ROI54_ROI82,0.00015958286360487497
ROI67_ROI100,0.00015948186252960018
ROI146_ROI197,0.00015939622304764697
ROI11_ROI93,0.00015935860036190316
ROI63_ROI156,0.00015926007560420138
ROI1_ROI61,0.0001592512147333358
ROI25_ROI51,0.0001592476705428171
ROI31_ROI162,0.00015914140139684132
ROI42_ROI190,0.00015908818225301226
ROI59_ROI160,0.00015900340695603686
ROI10_ROI75,0.0001584185510026381
ROI7_ROI60,0.00015822525369030415
ROI12_ROI155,0.0001581856700033464
ROI44_ROI106,0.000158151215555579
ROI39_ROI70,0.00015814976604921425
ROI102_ROI186,0.000157999270034163
ROI17_ROI122,0.00015792135322347894
ROI50_ROI121,0.00015777913240459207
ROI12_ROI27,0.00015772844899276546
ROI28_ROI100,0.0001577144854446671
ROI58_ROI126,0.00015763553409113361
ROI87_ROI191,0.00015761264170108754
ROI24_ROI182,0.0001575454502542542
ROI1_ROI13,0.00015753910629867803
ROI96_ROI173,0.00015749499473504671
ROI141_ROI195,0.00015748312264919978
ROI146_ROI167,0.00015745006079660766
ROI77_ROI186,0.00015742998731957064
ROI17_ROI115,0.00015738926396594748
ROI149_ROI175,0.00015735843098168412
ROI36_ROI153,0.00015734669862096186
ROI34_ROI67,0.00015721292369441512
ROI40_ROI77,0.00015718123534370752
ROI11_ROI31,0.00015685530771240099
ROI50_ROI185,0.0001567363096296622
ROI36_ROI138,0.00015668402999375575
ROI79_ROI106,0.00015667021696231801
ROI44_ROI187,0.0001566312331511966
ROI77_ROI110,0.0001565959826196338
ROI140_ROI199,0.00015658361583291452
ROI121_ROI162,0.0001565370082293561
